title	key	costBase	costRatio	maxLevel	v0	v1	v2	v3	v4	v5	v6	v7	v8	group
Air: mana capacity	capacity-air	300	2	8	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	economy
Air: mana per kill	gainPerKill-air	300	2	8	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	economy
Air: push strength	air.push	300	2	8	2.00	2.25	2.50	2.75	3.00	3.25	3.50	3.75	4.00	effect
Air: stroke cost	costPerUse-air	300	2	8	10.00	9.5	9.00	8.50	8.00	7.50	7.00	6.50	6.00	economy
Air: zone duration	air.duration	300	2	8	5.00	5.50	6.00	6.50	7.00	7.50	8.00	8.50	9.00	effect
Air: status duration	air.airDuration	300	2	8	5.00	5.50	6.00	6.50	7.00	7.50	8.00	8.50	9.00	effect
Earth: cell durability	earth.bites	300	5	5	5.00	9.00	13.00	16.00	20.00	-	-	-	-	effect
Earth: mana capacity	capacity-earth	300	2	8	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	economy
Earth: mana per kill	gainPerKill-earth	300	2	8	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	economy
Earth: stroke cost	costPerUse-earth	300	2	8	10.00	9.5	9.00	8.50	8.00	7.50	7.00	6.50	6.00	economy
Fire: burn duration	fire.burnDuration	300	2	8	2.00	2.25	2.50	2.75	3.00	3.25	3.50	3.75	4.00	effect
Fire: chain ignite	fire.maxIgnite	300	5	5	1.00	2.00	3.00	4.00	5.00	-	-	-	-	effect
Fire: mana capacity	capacity-fire	300	2	8	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	economy
Fire: mana per kill	gainPerKill-fire	300	2	8	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	economy
Fire: stroke cost	costPerUse-fire	300	2	8	10.00	9.5	9.00	8.50	8.00	7.50	7.00	6.50	6.00	economy
Fire: zone duration	fire.duration	300	2	8	5.00	5.50	6.00	6.50	7.00	7.50	8.00	8.50	9.00	effect
God: charge required	god.superCharge	300	2	8	500	490	480	470	460	450	440	430	420	god
God: kills per lightning	god.lightning	300	5	5	1.00	2.00	3.00	4.00	5.00	-	-	-	-	god
God: lightning radius	god.lightningRadius	300	5	5	30.00	37.50	45.00	52.50	60.00	-	-	-	-	god
God: super radius	god.superRadius	300	2	8	80.00	90.00	100.00	110.00	120.00	130.00	140.00	150.00	160.00	god
Water: mana capacity	capacity-water	300	2	8	20.00	25.00	30.00	35.00	40.00	45.00	50.00	55.00	60.00	economy
Water: mana per kill	gainPerKill-water	300	2	8	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	economy
Water: slow factor	water.slowFactor	300	2	8	0.50	0.45	0.40	0.35	0.30	0.25	0.20	0.15	0.10	effect
Water: status duration	water.wetDuration	300	2	8	5.00	5.50	6.00	6.50	7.00	7.50	8.00	8.50	9.00	effect
Water: stroke cost	costPerUse-water	300	2	8	10.00	9.5	9.00	8.50	8.00	7.50	7.00	6.50	6.00	economy
Water: zone duration	water.duration	300	2	8	5.00	5.50	6.00	6.50	7.00	7.50	8.00	8.50	9.00	effect
